-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 05/01/2020 through 07/31/2020 
Location: Latitude  5.5516   Longitude -0.2686 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 27.76 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,PS,WS10M,WD10M,WS50M,RH2M,PRECTOTCORR,T2M
2020,5,4,2,100.63,2.11,271.27,2.79,89.69,0.18,26.44
2020,5,4,3,100.63,2.08,277.13,2.85,89.88,0.18,26.37
2020,5,4,4,100.65,1.99,279.02,2.72,89.94,0.15,26.3
2020,5,4,5,100.7,1.92,277.73,2.51,89.75,0.14,26.25
2020,5,4,6,100.76,1.65,272.17,2.17,89.19,0.15,26.5
2020,5,4,7,100.84,1.33,259.48,1.59,87.19,0.12,26.99
2020,5,4,8,100.89,0.96,228.95,1.11,82.38,0.09,27.58
2020,5,4,9,100.91,0.9,173.55,0.96,75.31,0.09,28.5
2020,5,4,10,100.9,1.4,142.94,1.49,71.69,0.12,29.27
2020,5,4,11,100.86,1.99,140.57,2.14,71.0,0.11,29.68
2020,5,4,12,100.81,2.58,142.51,2.8,71.62,0.14,29.75
2020,5,4,13,100.75,3.01,142.92,3.31,73.06,0.14,29.52
2020,5,4,14,100.71,3.32,140.73,3.71,74.81,0.12,29.14
2020,5,4,15,100.7,3.41,142.74,3.85,76.88,0.1,28.68
2020,5,4,16,100.7,3.29,150.39,3.79,79.06,0.08,28.19
2020,5,4,17,100.71,3.04,162.96,3.71,81.94,0.07,27.69
2020,5,4,18,100.73,2.88,178.13,3.81,84.94,0.07,27.28
2020,5,4,19,100.77,2.98,190.9,3.95,86.0,0.07,27.18
2020,5,4,20,100.81,2.9,198.39,3.84,86.75,0.07,27.12
2020,5,4,21,100.87,2.61,200.88,3.35,86.94,0.05,27.09
2020,5,4,22,100.91,2.03,199.76,2.42,85.44,0.06,27.19
2020,5,4,23,100.91,1.27,197.54,1.46,83.75,0.05,27.29
2020,5,5,0,100.86,0.79,204.02,0.91,83.31,0.04,27.2
2020,5,5,1,100.8,0.59,225.54,0.7,83.44,0.02,27.07
2020,5,5,2,100.76,0.59,245.81,0.7,83.75,0.03,26.95
2020,5,5,3,100.75,0.55,269.19,0.64,83.94,0.02,26.86
2020,5,5,4,100.78,0.45,297.9,0.5,83.88,0.03,26.81
2020,5,5,5,100.82,0.36,324.61,0.39,83.62,0.03,26.82
2020,5,5,6,100.85,0.3,352.5,0.3,84.81,0.03,26.95
2020,5,5,7,100.9,0.4,63.43,0.53,81.94,0.04,27.61
2020,5,5,8,100.93,0.9,99.54,1.06,72.62,0.03,28.79
2020,5,5,9,100.92,1.27,123.69,1.4,68.75,0.03,29.65
2020,5,5,10,100.88,1.74,143.75,1.87,67.44,0.03,30.23
2020,5,5,11,100.81,2.31,158.2,2.49,67.31,0.03,30.6
2020,5,5,12,100.72,2.78,168.82,3.06,68.12,0.03,30.73
2020,5,5,13,100.63,3.14,177.86,3.46,68.88,0.03,30.71
2020,5,5,14,100.57,3.36,185.21,3.7,69.56,0.02,30.58
2020,5,5,15,100.54,3.53,191.36,3.89,70.62,0.02,30.26
2020,5,5,16,100.55,3.61,195.81,4.06,72.94,0.01,29.76
2020,5,5,17,100.59,3.52,199.44,4.2,77.31,0.01,29.01
2020,5,5,18,100.66,3.29,202.18,4.3,82.56,0.01,28.19
2020,5,5,19,100.72,3.23,204.27,4.26,84.94,0.02,27.85
2020,5,5,20,100.78,3.12,205.48,4.15,86.62,0.01,27.64
2020,5,5,21,100.81,3.02,205.24,3.99,87.75,0.02,27.46
2020,5,5,22,100.83,2.92,204.85,3.83,88.56,0.01,27.31
2020,5,5,23,100.81,2.87,205.52,3.75,89.5,0.02,27.15
2020,5,6,0,100.76,2.86,206.43,3.75,90.31,0.04,27.0
2020,5,6,1,100.7,2.88,207.26,3.78,91.12,0.04,26.87
2020,5,6,2,100.66,2.88,208.3,3.78,91.69,0.04,26.74
2020,5,6,3,100.66,2.89,209.61,3.81,92.06,0.07,26.66
2020,5,6,4,100.68,2.95,211.67,3.88,92.25,0.07,26.62
2020,5,6,5,100.7,3.01,214.31,3.95,92.31,0.08,26.58
2020,5,6,6,100.73,3.12,216.04,3.88,90.81,0.1,27.05
2020,5,6,7,100.78,3.34,215.1,3.87,87.5,0.15,27.78
2020,5,6,8,100.81,3.45,211.1,3.9,81.5,0.14,28.69
2020,5,6,9,100.82,3.42,208.79,3.8,76.81,0.16,29.51
2020,5,6,10,100.79,3.46,207.55,3.83,73.81,0.16,30.15
2020,5,6,11,100.75,3.52,205.82,3.97,72.62,0.18,30.57
2020,5,6,12,100.67,3.68,204.72,4.24,72.0,0.23,30.79
2020,5,6,13,100.59,3.93,204.07,4.54,72.0,0.21,30.8
2020,5,6,14,100.53,4.13,203.9,4.78,72.56,0.19,30.65
2020,5,6,15,100.49,4.28,202.54,4.92,73.81,0.16,30.3
2020,5,6,16,100.49,4.36,201.23,4.99,76.06,0.11,29.78
2020,5,6,17,100.54,4.11,201.5,4.91,80.25,0.08,29.03
2020,5,6,18,100.61,3.65,202.78,4.75,84.94,0.09,28.27
2020,5,6,19,100.67,3.51,204.17,4.64,86.94,0.11,27.95
2020,5,6,20,100.73,3.4,206.15,4.53,88.06,0.14,27.78
2020,5,6,21,100.8,3.34,208.85,4.42,88.94,0.21,27.64
2020,5,6,22,100.81,3.3,212.15,4.37,89.5,0.23,27.52
2020,5,6,23,100.77,3.32,215.22,4.37,90.12,0.28,27.39
2020,5,7,0,100.71,3.33,218.81,4.38,90.75,0.29,27.25
2020,5,7,1,100.64,3.33,221.86,4.36,91.19,0.31,27.14
2020,5,7,2,100.6,3.3,223.18,4.31,91.56,0.31,27.03
2020,5,7,3,100.57,3.27,223.35,4.25,91.81,0.25,26.94
2020,5,7,4,100.56,3.27,221.8,4.25,91.81,0.22,26.89
2020,5,7,5,100.57,3.36,219.24,4.37,91.81,0.21,26.87
2020,5,7,6,100.59,3.61,216.72,4.5,91.06,0.22,27.26
2020,5,7,7,100.64,4.02,214.8,4.72,88.69,0.2,27.89
2020,5,7,8,100.68,4.36,212.78,5.06,83.94,0.14,28.69
2020,5,7,9,100.7,4.39,211.68,4.99,79.62,0.13,29.44
2020,5,7,10,100.68,4.26,211.59,4.81,76.81,0.13,30.05
2020,5,7,11,100.66,4.17,212.23,4.73,75.12,0.15,30.44
2020,5,7,12,100.6,4.24,212.2,4.86,74.44,0.16,30.56
2020,5,7,13,100.53,4.5,211.37,5.18,74.44,0.18,30.51
2020,5,7,14,100.48,4.88,209.85,5.61,75.56,0.17,30.29
2020,5,7,15,100.45,5.1,209.35,5.87,77.56,0.15,29.9
2020,5,7,16,100.47,5.04,209.35,5.87,79.88,0.14,29.44
2020,5,7,17,100.5,4.75,209.43,5.74,83.12,0.17,28.87
2020,5,7,18,100.57,4.21,209.61,5.46,86.81,0.2,28.27
2020,5,7,19,100.62,3.97,210.81,5.22,88.44,0.24,28.03
2020,5,7,20,100.67,3.84,212.78,5.08,89.31,0.27,27.89
2020,5,7,21,100.72,3.74,215.32,4.95,89.88,0.32,27.76
2020,5,7,22,100.74,3.68,218.18,4.85,90.38,0.32,27.65
2020,5,7,23,100.72,3.64,221.52,4.8,90.94,0.36,27.51
2020,5,8,0,100.68,3.63,225.09,4.79,91.38,0.36,27.4
2020,5,8,1,100.64,3.61,227.99,4.76,91.81,0.41,27.27
2020,5,8,2,100.6,3.55,230.71,4.7,92.06,0.37,27.19
2020,5,8,3,100.58,3.48,232.74,4.59,91.94,0.37,27.14
2020,5,8,4,100.6,3.36,232.65,4.42,91.88,0.35,27.1
2020,5,8,5,100.64,3.23,231.88,4.22,91.81,0.35,27.08
2020,5,8,6,100.68,3.17,230.39,3.99,91.06,0.4,27.44
2020,5,8,7,100.74,3.3,228.36,3.89,88.94,0.43,28.01
2020,5,8,8,100.8,3.44,224.45,3.98,84.62,0.42,28.74
2020,5,8,9,100.82,3.49,220.64,3.98,79.38,0.44,29.51
2020,5,8,10,100.82,3.59,216.32,4.06,75.88,0.5,30.05
2020,5,8,11,100.81,3.83,212.43,4.33,74.62,0.57,30.32
2020,5,8,12,100.74,4.12,209.68,4.68,74.69,0.66,30.38
2020,5,8,13,100.66,4.4,209.02,5.01,75.12,0.77,30.34
2020,5,8,14,100.6,4.67,209.27,5.35,75.81,0.68,30.18
2020,5,8,15,100.58,4.76,209.72,5.52,77.38,0.59,29.86
2020,5,8,16,100.59,4.7,210.02,5.55,79.88,0.48,29.42
2020,5,8,17,100.63,4.24,209.5,5.22,83.38,0.45,28.88
2020,5,8,18,100.7,3.81,209.09,5.01,86.62,0.49,28.38
2020,5,8,19,100.77,3.66,209.96,4.83,87.88,0.46,28.19
2020,5,8,20,100.82,3.53,211.16,4.67,88.56,0.4,28.06
2020,5,8,21,100.86,3.56,212.64,4.72,89.19,0.35,27.95
2020,5,8,22,100.87,3.6,214.66,4.77,89.62,0.34,27.85
2020,5,8,23,100.84,3.58,216.57,4.74,90.0,0.4,27.76
2020,5,9,0,100.78,3.52,218.42,4.66,90.31,0.36,27.65
2020,5,9,1,100.72,3.5,219.56,4.62,90.62,0.38,27.53
2020,5,9,2,100.69,3.43,219.92,4.54,90.81,0.37,27.42
2020,5,9,3,100.68,3.32,220.13,4.39,90.81,0.35,27.35
2020,5,9,4,100.7,3.19,220.33,4.21,90.94,0.34,27.26
2020,5,9,5,100.73,3.14,219.95,4.13,90.94,0.33,27.23
2020,5,9,6,100.77,3.11,219.4,4.06,90.56,0.31,27.42
2020,5,9,7,100.82,3.34,219.87,3.92,89.25,0.34,27.78
2020,5,9,8,100.87,3.62,219.49,4.23,86.75,0.29,28.19
2020,5,9,9,100.9,3.96,219.24,4.59,83.5,0.27,28.61
2020,5,9,10,100.89,4.22,219.06,4.83,80.31,0.23,29.02
2020,5,9,11,100.86,4.41,219.53,5.04,78.5,0.24,29.27
2020,5,9,12,100.79,4.49,220.62,5.13,77.38,0.25,29.41
2020,5,9,13,100.72,4.55,221.73,5.19,76.75,0.28,29.49
2020,5,9,14,100.67,4.55,222.01,5.2,76.56,0.28,29.46
2020,5,9,15,100.64,4.4,222.77,5.07,77.19,0.25,29.3
2020,5,9,16,100.64,4.17,223.71,4.89,78.5,0.22,29.05
2020,5,9,17,100.68,3.84,224.09,4.76,81.62,0.21,28.58
2020,5,9,18,100.73,3.64,225.35,4.8,85.06,0.27,28.05
2020,5,9,19,100.79,3.66,227.59,4.84,86.38,0.28,27.84
2020,5,9,20,100.83,3.67,230.44,4.86,87.25,0.35,27.73
2020,5,9,21,100.88,3.59,234.38,4.74,87.94,0.39,27.64
2020,5,9,22,100.9,3.51,239.21,4.63,88.69,0.43,27.51
2020,5,9,23,100.88,3.44,244.02,4.54,89.25,0.48,27.39
2020,5,10,0,100.84,3.43,248.17,4.52,89.75,0.62,27.26
2020,5,10,1,100.79,3.49,251.44,4.61,90.31,0.73,27.11
2020,5,10,2,100.75,3.63,254.26,4.79,90.75,0.77,26.98
2020,5,10,3,100.73,3.85,256.5,5.05,90.94,0.69,26.91
2020,5,10,4,100.73,4.07,258.5,5.31,90.94,0.54,26.84
2020,5,10,5,100.73,4.24,260.02,5.51,91.0,0.42,26.76
2020,5,10,6,100.75,4.39,260.27,5.45,90.75,0.28,26.87
2020,5,10,7,100.82,4.32,259.38,5.1,89.19,0.25,27.25
2020,5,10,8,100.89,4.29,257.18,5.05,85.56,0.21,27.86
2020,5,10,9,100.92,4.06,250.8,4.74,81.19,0.13,28.44
2020,5,10,10,100.94,3.77,240.62,4.36,78.81,0.17,28.82
2020,5,10,11,100.91,3.63,231.82,4.17,78.25,0.25,28.95
2020,5,10,12,100.87,3.62,224.91,4.14,78.69,0.41,28.92
2020,5,10,13,100.81,3.67,219.21,4.2,80.31,0.6,28.69
2020,5,10,14,100.75,3.78,215.66,4.37,82.69,0.74,28.32
2020,5,10,15,100.74,3.84,213.79,4.48,85.38,0.82,27.93
2020,5,10,16,100.75,3.77,211.72,4.49,88.06,0.87,27.58
2020,5,10,17,100.78,3.62,210.5,4.51,90.25,0.91,27.26
2020,5,10,18,100.84,3.63,210.27,4.68,91.5,1.02,27.05
2020,5,10,19,100.91,3.72,210.82,4.81,91.88,1.11,26.99
2020,5,10,20,100.97,3.75,211.7,4.86,92.12,1.42,26.94
2020,5,10,21,101.02,3.64,215.22,4.77,92.19,1.92,26.86
2020,5,10,22,101.03,3.66,220.5,4.78,92.38,2.59,26.77
2020,5,10,23,100.99,3.85,226.48,4.99,92.56,3.48,26.65
2020,5,11,0,100.91,4.11,232.26,5.29,92.88,1.71,26.54
2020,5,11,1,100.81,4.41,238.93,5.66,92.88,1.81,26.48
2020,5,11,2,100.76,4.23,246.04,5.54,92.81,1.65,26.42
2020,5,11,3,100.77,3.49,252.01,4.68,92.75,1.33,26.33
2020,5,11,4,100.83,2.69,258.62,3.65,92.38,1.03,26.26
2020,5,11,5,100.88,2.23,269.2,3.0,91.38,0.86,26.19
2020,5,11,6,100.93,1.94,280.68,2.66,90.75,0.78,26.25
2020,5,11,7,101.0,1.94,289.96,2.52,89.19,0.76,26.49
2020,5,11,8,101.06,1.64,287.14,2.06,86.88,0.72,26.78
2020,5,11,9,101.09,1.07,270.42,1.27,83.56,0.6,27.08
2020,5,11,10,101.09,0.7,214.94,0.84,81.69,0.44,27.3
2020,5,11,11,101.05,1.33,161.57,1.51,81.56,0.3,27.51
2020,5,11,12,100.98,2.07,145.77,2.32,82.31,0.21,27.61
2020,5,11,13,100.91,2.44,143.72,2.73,82.88,0.16,27.62
2020,5,11,14,100.87,2.46,148.88,2.77,82.5,0.11,27.6
2020,5,11,15,100.85,2.35,163.56,2.64,82.44,0.08,27.42
2020,5,11,16,100.86,2.49,181.08,2.9,83.69,0.05,27.19
2020,5,11,17,100.9,2.75,191.95,3.48,86.19,0.04,26.9
2020,5,11,18,100.95,2.84,198.14,3.79,88.5,0.03,26.52
2020,5,11,19,101.01,2.82,203.37,3.74,89.31,0.02,26.41
2020,5,11,20,101.08,2.7,205.75,3.59,89.56,0.01,26.33
2020,5,11,21,101.13,2.64,210.73,3.52,89.44,0.0,26.26
2020,5,11,22,101.14,2.66,221.66,3.53,89.25,0.01,26.2
2020,5,11,23,101.09,2.72,235.99,3.62,89.38,0.01,26.13
2020,5,12,0,101.0,2.87,249.44,3.77,89.81,0.01,26.06
2020,5,12,1,100.92,3.0,257.05,3.93,90.25,0.01,25.98
2020,5,12,2,100.87,3.08,258.89,4.05,90.31,0.01,25.89
2020,5,12,3,100.86,2.87,259.49,3.78,90.12,0.03,25.8
2020,5,12,4,100.89,2.51,260.51,3.32,90.0,0.03,25.72
2020,5,12,5,100.94,2.29,259.0,3.01,89.19,0.04,25.67
2020,5,12,6,100.99,2.06,256.17,2.69,88.12,0.06,25.93
2020,5,12,7,101.05,2.01,253.54,2.37,85.75,0.09,26.44
2020,5,12,8,101.11,1.85,249.73,2.09,83.5,0.1,26.87
2020,5,12,9,101.13,1.77,245.14,1.96,80.94,0.09,27.31
2020,5,12,10,101.13,1.75,240.22,1.91,78.5,0.09,27.8
2020,5,12,11,101.08,1.78,231.22,1.94,76.31,0.09,28.22
2020,5,12,12,101.0,2.05,219.89,2.22,75.0,0.07,28.54
2020,5,12,13,100.89,2.48,213.04,2.71,74.75,0.08,28.69
2020,5,12,14,100.81,2.93,210.81,3.24,75.31,0.07,28.69
2020,5,12,15,100.78,3.21,210.87,3.61,76.69,0.05,28.49
2020,5,12,16,100.78,3.28,211.64,3.79,78.75,0.04,28.18
2020,5,12,17,100.81,3.03,212.66,3.78,81.75,0.03,27.76
2020,5,12,18,100.86,2.75,212.7,3.66,85.12,0.04,27.25
2020,5,12,19,100.92,2.6,210.88,3.48,86.0,0.03,27.09
2020,5,12,20,100.97,2.46,207.05,3.28,86.19,0.03,27.01
2020,5,12,21,101.01,2.37,202.26,3.14,86.31,0.04,26.93
2020,5,12,22,101.03,2.35,199.64,3.1,86.56,0.04,26.83
2020,5,12,23,101.0,2.36,201.31,3.05,86.75,0.06,26.76
2020,5,13,0,100.94,2.39,207.24,3.04,86.88,0.06,26.65
2020,5,13,1,100.88,2.37,215.63,3.01,87.0,0.08,26.57
2020,5,13,2,100.83,2.37,223.13,2.99,87.19,0.09,26.48
2020,5,13,3,100.82,2.37,228.6,2.98,87.25,0.11,26.4
2020,5,13,4,100.84,2.32,230.47,2.9,87.12,0.09,26.39
2020,5,13,5,100.88,2.25,229.79,2.8,87.0,0.08,26.37
2020,5,13,6,100.92,2.14,227.22,2.68,86.38,0.08,26.78
2020,5,13,7,100.99,2.1,220.16,2.5,84.12,0.08,27.49
2020,5,13,8,101.06,2.08,210.41,2.36,80.94,0.06,28.1
2020,5,13,9,101.09,2.0,199.35,2.21,77.25,0.07,28.73
2020,5,13,10,101.07,1.97,186.62,2.12,75.25,0.08,29.18
2020,5,13,11,101.04,2.03,175.8,2.17,74.44,0.1,29.42
2020,5,13,12,100.95,2.17,167.31,2.32,74.06,0.09,29.5
2020,5,13,13,100.86,2.32,161.93,2.5,74.5,0.09,29.39
2020,5,13,14,100.79,2.44,158.2,2.66,75.5,0.07,29.16
2020,5,13,15,100.76,2.55,155.79,2.84,77.0,0.05,28.84
2020,5,13,16,100.78,2.63,153.89,3.04,78.94,0.04,28.5
2020,5,13,17,100.81,2.57,153.28,3.25,82.12,0.05,28.05
2020,5,13,18,100.86,2.52,154.63,3.46,85.38,0.06,27.55
2020,5,13,19,100.9,2.6,157.37,3.57,86.06,0.06,27.42
2020,5,13,20,100.94,2.63,162.16,3.54,86.38,0.06,27.36
2020,5,13,21,100.97,2.54,167.2,3.36,86.69,0.06,27.33
2020,5,13,22,100.95,2.35,171.38,3.02,86.62,0.07,27.29
2020,5,13,23,100.9,2.1,173.59,2.59,85.88,0.1,27.28
2020,5,14,0,100.84,1.79,173.22,2.16,85.0,0.11,27.27
2020,5,14,1,100.78,1.57,171.15,1.87,84.44,0.13,27.28
2020,5,14,2,100.74,1.46,169.83,1.72,84.12,0.13,27.27
2020,5,14,3,100.74,1.38,172.19,1.59,84.12,0.13,27.24
2020,5,14,4,100.78,1.32,179.66,1.51,84.12,0.13,27.26
2020,5,14,5,100.81,1.48,190.36,1.7,84.69,0.14,27.16
2020,5,14,6,100.85,1.74,196.16,2.11,85.81,0.12,27.27
2020,5,14,7,100.92,1.97,194.2,2.42,84.69,0.14,27.91
2020,5,14,8,100.96,2.13,189.08,2.43,81.81,0.13,28.41
2020,5,14,9,100.99,2.14,183.34,2.39,78.69,0.12,28.98
2020,5,14,10,100.97,2.3,178.25,2.53,76.44,0.12,29.44
2020,5,14,11,100.93,2.53,176.46,2.77,75.25,0.12,29.72
2020,5,14,12,100.85,2.7,177.01,2.94,74.62,0.12,29.83
2020,5,14,13,100.76,2.86,177.18,3.12,74.88,0.11,29.78
2020,5,14,14,100.71,2.98,177.3,3.28,76.06,0.11,29.51
2020,5,14,15,100.68,3.02,181.19,3.38,77.81,0.1,29.13
2020,5,14,16,100.69,2.98,186.17,3.47,80.19,0.08,28.71
2020,5,14,17,100.72,2.74,190.86,3.48,83.44,0.07,28.26
2020,5,14,18,100.78,2.59,192.9,3.53,86.12,0.06,27.84
2020,5,14,19,100.84,2.62,192.92,3.56,87.0,0.07,27.69
2020,5,14,20,100.91,2.59,192.9,3.49,87.31,0.07,27.61
2020,5,14,21,100.96,2.55,194.16,3.43,87.62,0.08,27.55
2020,5,14,22,100.96,2.5,197.25,3.34,87.94,0.07,27.44
2020,5,14,23,100.93,2.53,201.9,3.39,88.38,0.07,27.33
2020,5,15,0,100.87,2.66,207.62,3.6,88.88,0.08,27.19
2020,5,15,1,100.83,2.81,213.42,3.83,89.12,0.08,27.1
2020,5,15,2,100.79,2.99,217.68,4.1,89.5,0.09,27.04
2020,5,15,3,100.78,3.05,219.6,4.11,89.56,0.08,27.01
2020,5,15,4,100.8,3.03,220.71,4.04,89.56,0.09,26.97
2020,5,15,5,100.83,2.99,220.86,3.96,89.75,0.08,26.92
2020,5,15,6,100.86,2.87,219.81,3.76,89.06,0.08,27.29
2020,5,15,7,100.91,2.85,217.53,3.35,87.44,0.1,27.82
2020,5,15,8,100.97,2.8,210.72,3.24,84.81,0.11,28.33
2020,5,15,9,100.98,2.69,206.34,3.1,81.44,0.11,28.83
2020,5,15,10,100.97,2.57,203.06,2.92,79.25,0.13,29.19
2020,5,15,11,100.93,2.44,203.2,2.75,78.31,0.14,29.34
2020,5,15,12,100.86,2.41,206.81,2.7,77.88,0.18,29.42
2020,5,15,13,100.79,2.56,213.06,2.89,77.81,0.17,29.44
2020,5,15,14,100.73,2.76,218.56,3.15,78.38,0.2,29.37
2020,5,15,15,100.69,2.9,220.74,3.36,79.38,0.21,29.24
2020,5,15,16,100.69,2.94,219.61,3.57,81.25,0.22,29.04
2020,5,15,17,100.71,2.95,218.11,3.84,84.19,0.25,28.67
